train_loss,val_auroc,val_loss,val_accuracy,val_auprc,val_f1
0.366277556723315,0.9737355778794509,0.29322052679842286,0.9112343966712899,0.9576167880277502,0.8740157480314961
0.2989492976091302,0.9734475498972217,0.2793452601657661,0.9174757281553398,0.9579272688317613,0.8856868395773295
0.2885576170454481,0.9757393408925137,0.255384723951681,0.9216366158113731,0.9608869263789572,0.8964252978918423
0.28089268169583315,0.9777617531993898,0.24392531636518514,0.9237170596393898,0.9642913497043251,0.8983364140480592
0.2747115191016488,0.9767754127710363,0.24873258167265522,0.9230235783633842,0.963458107667795,0.8976958525345622
0.27314703711083227,0.977210562960016,0.24861613052397263,0.9251040221914009,0.9626527715746107,0.898876404494382
0.2699939013048987,0.9776602181552947,0.24414146128375389,0.9216366158113731,0.9624257126064047,0.8973660308810173
0.26879409689614964,0.9776560738677806,0.24747626022558436,0.9209431345353676,0.9628717615956403,0.8946395563770795
0.2672470599968338,0.9787045786088456,0.24255453787961054,0.9271844660194175,0.9653425850207386,0.90177736202058
0.26774461369615016,0.9789926065910748,0.23741243455181837,0.9216366158113731,0.9654501456953861,0.8966148215919487
0.26244863954071446,0.9774820137921889,0.25819320743193075,0.9098474341192788,0.963226975350536,0.8847517730496454
0.26579091883527606,0.9778322060871295,0.2654699434354467,0.9056865464632455,0.9638402845936554,0.8807017543859649
0.25848290070491114,0.9773908394668789,0.24453728266794042,0.920249653259362,0.9623957689342205,0.8938134810710988
0.25470839573940857,0.977036502884424,0.24926731854305187,0.9195561719833565,0.96263327932169,0.895117540687161
0.2599696570850752,0.9784538492142432,0.2420134628695357,0.9251040221914009,0.964056090915868,0.8996282527881041
0.2560049999765716,0.9786196207148067,0.24346076681610615,0.9278779472954231,0.9644368554977926,0.9022556390977443
0.25298584922294165,0.9790381937537299,0.23937582238041247,0.9167822468793343,0.9649592931919102,0.8920863309352518
0.2523087224345245,0.9779586068563092,0.24521940343092286,0.9174757281553398,0.9637797638182019,0.8928892889288929
0.25161270321495044,0.9791936045355082,0.24316099910233455,0.9209431345353676,0.9653736196183429,0.8916349809885932
0.24692014906180898,0.9784642099330283,0.23830476514840093,0.9278779472954231,0.9631487026300527,0.9056261343012704
0.2513391885634941,0.9764749519262649,0.2516091165860053,0.9223300970873787,0.9614551475114115,0.8962962962962963
0.24670518727552465,0.9778342782308865,0.24388124377320775,0.9167822468793343,0.962131649885314,0.8909090909090909
0.24800590432705097,0.9792143259730787,0.23945204560204453,0.9195561719833565,0.9649017945166396,0.8954954954954955
0.24360803718438184,0.9764272926198528,0.2501131950072872,0.9209431345353676,0.9600010550822845,0.8942486085343229
0.2447907770620847,0.9779979775876931,0.2489985285453426,0.920249653259362,0.9622013373369485,0.89120151371807
0.240310369280601,0.9771483986473046,0.24657001533389256,0.9195561719833565,0.9615524605673117,0.8943533697632058
0.2408702091961481,0.9774281380545057,0.24505114522291122,0.9209431345353676,0.9607796274414279,0.8957952468007313
0.24285665258370168,0.9778218453683442,0.26317175871456217,0.9195561719833565,0.9616294018850153,0.8878143133462283
0.24698228746201487,0.9770385750281813,0.24684227455340213,0.9223300970873787,0.9611021994306859,0.8974358974358975
0.23775668953991863,0.9778177010808301,0.24308422922922734,0.9223300970873787,0.962572660488899,0.8974358974358975
